Sample,Facies,Time,NO3_corrected,DOC_corrected,SO4_corrected
A406,T8,84.0,0.028795614548595874,0.02207111188746639,
A406,T8,100.0,,0.016827751423146155,
A406,T8,108.0,0.02806567322399217,0.016827751423146155,
A406,T8,134.0,0.02817135970921472,0.019262649472077384,
A406,T8,150.0,0.027783448033853894,0.019443723403725903,
A406,T8,170.0,0.027516357148399485,0.0185252119540806,
A502,T2,0.0,0.009953964446934785,0.0039242160669771126,
A502,T2,3.0,0.009022076569199969,0.0047066343411166145,
A502,T2,5.0,0.009091711302732506,0.0023882386200927658,
A502,T2,14.0,0.008891737094162643,0.002081927041441652,
A502,T2,25.0,0.00866598689570106,,
A502,T2,37.0,0.008947368063852951,0.0022253116206876976,
A502,T2,51.0,0.008920789334892931,0.0017072614925075366,
A502,T2,65.0,0.008810725742829586,0.0017510550371030455,
A502,T2,84.0,0.008443601287784127,,
A502,T2,100.0,,0.002064639442906394,
A502,T2,108.0,0.008254528711058895,0.001954939512619016,
A502,T2,134.0,0.00833856665753942,0.0022395540039147994,
A502,T2,150.0,0.008361304529713313,0.0021531818246985357,
A502,T2,170.0,0.008344020674175728,0.002073659638742563,
A503,T5,0.0,0.04040251116125655,0.010093394529430385,
A503,T5,3.0,0.03958277879868765,0.008002121009972366,
A503,T5,5.0,0.04043593590720316,0.009834643413153678,
A503,T5,14.0,0.038720153463658744,0.008081839664899478,
A503,T5,25.0,0.03611775103856558,,
A503,T5,37.0,0.03607972562416548,0.0070049227787080896,
A503,T5,51.0,0.035512394575094544,0.005587258353423075,
A503,T5,65.0,0.03528363205530787,0.006229445825251391,
A503,T5,84.0,0.03470003344927432,,
A503,T5,100.0,,0.007151793344264899,
A503,T5,108.0,0.03422962992710558,0.006607566987688757,
A503,T5,134.0,0.03356418517510391,0.007785895788036006,
A503,T5,150.0,0.034149817225757786,0.007514900734848063,
A503,T5,170.0,0.03418306404530012,0.007187501876198204,
A504,T7,0.0,0.034699569556285816,0.012481031579889027,
A504,T7,3.0,0.03424693534331151,0.010725389652519951,
A504,T7,5.0,0.033765603041504555,0.011652489806229136,
A504,T7,14.0,0.030672403688534744,0.009655086320903008,
A504,T7,25.0,0.02615308548706832,0.008662314037570234,
A504,T7,37.0,0.02668167586941632,0.009146378537422206,
A504,T7,51.0,0.026080209389803002,0.007058111321328083,
A504,T7,65.0,0.02544028178836407,0.00833080011008895,
A504,T7,84.0,0.024978748326456704,,
A504,T7,100.0,,0.008621095129617649,
A504,T7,108.0,0.0243180292911546,0.008268743296763465,
A504,T7,134.0,0.02459898642222114,0.010762450199905032,
A504,T7,150.0,0.02429693477516514,0.009471906694997262,
A504,T7,170.0,0.024254382044634676,0.009285768974912628,
A507,T8,0.0,0.06982252949706155,0.03185158025467592,
A507,T8,3.0,0.06839178644016161,0.02693332153888037,
A507,T8,5.0,0.06983194302648865,0.026791739016289486,
A507,T8,14.0,0.06594982617396163,0.02470062396760484,
A507,T8,25.0,0.06346029923015054,0.027033283815667875,
A507,T8,37.0,0.06331358427030863,0.026904472277873234,
A507,T8,51.0,0.061353755493199526,0.021653139113695638,
A507,T8,65.0,0.056535026487482556,0.02000588381143448,
A507,T8,84.0,0.05407217499091547,,
